titulo,data,descricao,categoria,descricaoRaw,matches,resultadoCount,resultadoJaccard,resultadoTfIdf
Bolsonaro é intimado pela PF para depor em caso de discussão sobre golpe com empresários,22/08/2023 - 19:37,"['ex-presid', 'repúbl', 'jair', 'bolsonar', 'pl', 'intim', 'políci', 'feder', 'pf', 'nov', 'dest', 'vez', 'convoc', 'prest', 'depo', 'investig', 'sobr', 'cas', 'empres', 'discut', 'golp', 'est', 'mens', 'whatsapp', 'oitiv', 'prev', '31', 'agost']",economia,"O ex-presidente da República Jair Bolsonaro (PL) foi intimado pela Polícia Federal (PF) novamente. Desta vez, a convocação é para ele prestar depoimento na investigação sobre o caso de empresários que discutiram golpe de Estado em mensagens de WhatsApp. A oitiva está prevista para 31 de agosto.",[],economia,economia,economia
Por que a tradicional cor dos ônibus de Joinville vai mudar,22/08/2023 - 19:31,"['cor', 'amarel', 'ônibu', 'joinvill', 'modific', 'independ', 'vitori', 'licit', 'transport', 'cole', 'lanç', 'fever', '2024', 'prefeit', 'pretend', 'utiliz', 'tom', 'bande', 'joinvill', 'escolh', 'layout', 'ônibu', 'futur', 'contrat', 'transport', 'cole', 'feit', 'mei', 'pesquis', 'junt', 'popul', 'consult', 'dev', 'feit', 'aind', 'nest', 'ano']",outros,"A cor amarela dos ônibus de Joinville será modificada, independentemente de quem seja vitorioso na licitação do transporte coletivo, a ser lançada até fevereiro de 2024. A prefeitura pretende utilizar tons da bandeira de Joinville. A escolha dos layouts dos ônibus, no futuro contrato do transporte coletivo, será feita por meio de pesquisa junto à população. A consulta deve ser feita ainda neste ano.",[],economia,economia,economia
Mulheres serão maioria dos palestrantes no Startup Summit 2023,22/08/2023 - 19:00,"['nest', 'quarta-f', 'part', '13h', 'abr', 'centrosul', 'startup', 'summit', '2023', 'fat', 'nov', 'event', 'prim', 'vez', 'númer', 'mai', 'mulh', 'palestr', '70', 'particip', 'feminin', 'palestr', 'talk', 'ment', 'obje', 'incentiv', 'mai', 'particip', 'feminin', 'empreendedor', 'profiss', 'áre']",outros,"Nesta quarta-feira, a partir das 13h, abre no Centrosul o Startup Summit 2023. Um dos fatos novos do evento é que pela primeira vez, terá um número maior de mulheres entre os palestrantes. Serão mais de 70 participações femininas entre palestras, talks e mentorias, com o objetivo de incentivar maior participação feminina no empreendedorismo ou como profissionais da área.",[],economia,turismo,economia
Veja como utilizar o azul na decoração,22/08/2023 - 19:00,"['divers', 'tom', 'signific', 'possibil', 'assim', 'process', 'decor', 'utiliz', 'azul', 'cor', 'conhec', 'transmit', 'tranquil', 'seren', 'proporc', 'sens', 'calm', 'log', 'prim', 'vist', 'remet', 'mar', 'céu', 'natur', 'influ', 'tão', 'posi', 'traz', 'dentr', 'cas', 'sens', 'fresc']",outros,"Diversos tons, significados e possibilidades. Assim é o processo de decoração que utiliza o azul. Essa cor, conhecida por transmitir tranquilidade e serenidade, proporciona uma sensação de calma logo à primeira vista. Remete ao mar, ao céu e à natureza e, por isso, tem essa influência tão positiva: traz para dentro de casa a sensação de frescor.",[],turismo,turismo,turismo
Quais os critérios para definir vencedor da licitação do ônibus em Joinville,22/08/2023 - 18:55,"['princip', 'critéri', 'escolh', 'empr', 'consórci', 'venc', 'licit', 'transport', 'cole', 'joinvill', 'val', 'tarif', 'lev', 'oferec', 'men', 'val', 'pass', 'desd', 'comprov', 'viabil', 'propost', 'necess', 'pag', 'outorg', 'prefeit', 'quest', 'cruc', 'concorr', 'porqu', 'vincul', 'dív', 'municípi', 'atual', 'empr', '–', 'previs', 'edit', 'determin', 'justiç', 'possibil', 'recurs', 'edit', 'licit', 'dev', 'lanç', 'fever', '2024', 'prefeit', 'apresent', 'nov', 'model', 'nest', 'terça-f', 'prim', 'licit', 'transport', 'cole', 'joinvill']",economia,"O principal critério para a escolha da empresa ou consórcio vencedor da licitação do transporte coletivo de Joinville será o valor da tarifa: leva quem oferecer o menor valor da passagem, desde que comprove a viabilidade da proposta. Também há necessidade de pagamento de outorga à prefeitura, uma das questões cruciais da concorrência porque há vinculação com a dívida do município com as atuais empresas – essa previsão no edital foi determinada pela Justiça, sem mais possibilidades de recursos. O edital de licitação deve ser lançado até fevereiro de 2024. A prefeitura apresentou o novo modelo nesta terça-feira. Será a primeira licitação do transporte coletivo de Joinville.",[],economia,economia,economia
ATL DAY: Fim de semana tem show gratuito do Dazaranha em Criciúma,22/08/2023 - 14:21,"['assunt', 'divers', 'tod', 'famíl', 'pod', 'cont', 'rádi', 'atlânt', 'melhor', 'vib', 'fm', 'traz', 'criciúm', 'sáb', '2', 'setembr', 'dia', 'reg', 'músic', 'gastronom', 'art', 'line-up', 'cont', 'show', 'band', 'dazaranh', 'nov', 'atr', 'anunci', 'brev', 'event', 'entr', 'gratuit', 'acontec', '11h', '22h', 'parqu', 'municip', 'prefeit', 'alta', 'guid']",turismo,"Quando o assunto é diversão para toda a família, pode contar com a Rádio Atlântida. A melhor vibe do FM traz para Criciúma no sábado, 2 de setembro, um dia regado a música, gastronomia e arte . O line-up já conta com o show da banda Dazaranha, mas novas atrações serão anunciadas em breve. O evento com entrada gratuita acontece das 11h às 22h no Parque Municipal Prefeito Altair Guidi.   ",[],turismo,turismo,turismo
Insuficiência cardíaca: entenda a condição e as opções de tratamento,22/08/2023 - 18:30,"['intern', 'iníci', 'agost', 'dev', 'insufici', 'card', 'apresent', 'faust', 'silv', 'após', 'pior', 'quadr', 'agor', 'aguard', 'fil', 'transpl', 'coraçã', 'segund', 'inform', 'divulg', 'hospit', 'israelit', 'albert', 'einstein', 'doming', '20', 'situ', 'faust', 'levant', 'séri', 'dúv', 'sobr', 'cond', 'afet', 'cerc', '3', 'milhã', 'brasil', 'acord', 'sociedad', 'brasil', 'cardiolog']",saude,"Internado no início de agosto devido a uma insuficiência cardíaca, o apresentador Fausto Silva, após uma piora no quadro, agora aguarda na fila para um transplante de coração, segundo informações divulgadas pelo Hospital Israelita Albert Einstein no domingo (20). A situação de Faustão levantou uma série de dúvidas sobre a condição, que afeta cerca de 3 milhões de brasileiros, de acordo com a Sociedade Brasileira de Cardiologia.",[],saude,saude,saude
"Joinville planeja transporte para deficientes com vans, carros e viagens agendadas pelo celular",22/08/2023 - 18:22,"['prefeit', 'joinvill', 'planej', 'adicion', 'vam', 'carr', 'transport', 'efici', 'respons', 'locomov', 'pesso', 'defici', 'pcd', 'cidad', 'propost', 'dev', 'coloc', 'prát', 'lanç', 'edit', 'licit', 'transport', 'cole', 'previst', 'fever', '2024']",saude,"A prefeitura de Joinville planeja adicionar vans e carros para o transporte eficiente, responsável por locomover Pessoa com Deficiência (PcD) na cidade. A proposta deve ser colocada em prática com o lançamento do edital para a licitação do transporte coletivo, previsto para fevereiro de 2024.",[],economia,economia,turismo
O que pode acontecer se o jogador chutar a bandeirinha de escanteio a partir de agora,22/08/2023 - 17:51,"['chef', 'arbitr', 'confeder', 'brasil', 'futebol', 'cbf', 'wilson', 'senem', 'explic', 'entrev', 'proced', 'indic', 'árbitr', 'cas', 'jog', 'chut', 'bande', 'escantei', 'dur', 'comemor', 'gol']",esporte,"O chefe de arbitragem da Confederação Brasileira de Futebol (CBF), Wilson Seneme, explicou em entrevista qual é o procedimento indicado aos árbitros, em caso dos jogadores chutarem a bandeirinha de escanteio durante a comemoração de um gol.",[],esporte,esporte,esporte
MPF pede revogação de decreto que proíbe indígenas de falarem na língua materna em cidade de SC,22/08/2023 - 17:39,"['minist', 'públic', 'feder', 'através', 'procur', 'repúbl', 'blumenau', 'deu', 'praz', 'quatr', 'dia', 'prefeit', 'josé', 'boiteux', 'ada', 'antoni', 'stollmei', 'revog', 'alt', 'decret', 'determin', 'soment', 'língu', 'portugu', 'fal', 'repart', 'públic', 'municip', 'conform', 'procur', 'lucy', 'marin', 'pep', 'affons', 'obje', 'evit', 'emb', 'serv', 'indígen', 'dialog', 'si', 'língu', 'matern', 'sempr', 'assim', 'desej', 'entend', 'necess', 'trat', 'reun', 'instituc']",economia,"O Ministério Público Federal, através da Procuradora da República em Blumenau, deu prazo de quatro dias para que o prefeito de José Boiteux, Adair Antonio Stollmeier, revogue ou altere o decreto em que determina que somente a língua portuguesa seja falada nas repartições públicas municipais. Conforme a procuradora Lucyana Marina Pepe Affonso, o objetivo é evitar embaraços para que servidores indígenas dialoguem entre si em sua língua materna, sempre que assim desejarem ou entenderem necessário, mesmo que se trate de reuniões institucionais.",[],economia,economia,saude
"Zagueiro Felipe Silva, do Avaí, está a caminho do Gil Vicente, de Portugal",22/08/2023 - 17:31,"['negoci', 'avaí', 'gil', 'vicent', 'zagu', 'felip', 'silv', 'lip', 'apen', 'algum', 'detalh', 'final', 'motiv', 'atlet', 'viaj', 'deleg', 'avai', 'maceió-', 'ond', 'avaí', 'enfrent', 'nest', 'quart', 'crb', 'séri', 'b', 'campeonat', 'brasil', '2023']",esporte,"A negociação Avaí e Gil Vicente, pelo zagueiro Felipe Silva, o Lipe, está por apenas alguns detalhes para ser finalizada. Por este motivo o atleta não viajou com a delegação avaiana para Maceió-AL, onde o Avaí enfrenta nesta quarta o CRB, pela Série B do Campeonato Brasileiro 2023.",[],esporte,esporte,esporte
Festival Bom Gourmet movimenta o inverno no litoral de Santa Catarina,22/08/2023 - 12:13,"['bom', 'gourmet', 'mai', 'event', 'gastronôm', 'reg', 'sul', 'brasil', 'cheg', 'litor', 'sant', 'catarin', 'cidad', 'escolh', 'algum', 'princip', 'destin', 'procur', 'turist', 'balne', 'camboriú', 'receb', '2º', 'ediç', 'festiv', 'florianópolil', 'receb', '1ª', 'ediç', 'event', 'acontec', 'form', 'paralel', 'ambas', 'dia', '18', 'agost', '10', 'setembr']",turismo,"O Bom Gourmet, maior evento gastronômico da região Sul do Brasil, chega ao litoral de Santa Catarina. As cidades escolhidas são alguns dos principais destinos procurados pelos turistas: Balneário Camboriú, que recebe a 2º edição do festival, e Florianópolis, que está recebendo a 1ª edição. O evento acontece de forma paralela em ambas, entre os dias 18 de agosto e 10 de setembro. ",[],turismo,turismo,turismo
Descubra como manter uma pele saudável aos 50 anos,22/08/2023 - 17:30,"['process', 'envelhec', 'constitu', 'etap', 'faz', 'part', 'vid', 'acompanh', 'séri', 'modific', 'pel', 'muit', 'pesso', 'enfrent', 'divers', 'transform', 'pod', 'impact', 'autoest', 'result', 'queix', 'rug', 'flacid', 'outr', 'sinal', 'vis', 'matur']",saude,"O processo de envelhecimento constitui uma etapa que faz parte da vida, acompanhada por uma série de modificações na pele. Muitas pessoas enfrentam diversas transformações que podem impactar a autoestima, resultando em queixas, como rugas, flacidez e outros sinais visíveis de maturidade.",[],saude,saude,saude
Empresa de TI de SC fundada por gêmeos é adquirida pela americana Howdy.com,22/08/2023 - 17:25,"['fund', '2015', 'gême', 'tom', 'cels', 'ferrar', 'geekhunt', 'florianópolil', 'especi', 'recrut', 'seleç', 'profiss', 'áre', 'tecnolog', 'adquir', 'americ', 'howdycom', 'val', 'negóci', 'revel', 'junt', 'projet', 'receit', 'anual', 'r', '175', 'milhã', '2024']",economia,"Fundada em 2015 pelos gêmeos Tomás e Celso Ferrari, a GeekHunter, de Florianópolis,  especializada em recrutamento e seleção de profissionais da área de tecnologia, foi adquirida pela americana Howdy.com. O valor do negócio não foi revelado, mas juntas elas projetam receita anual de R$ 175 milhões em 2024.",[],economia,economia,economia
Licitação do transporte em Joinville prevê novo terminal e ônibus com internet e ar condicionado,22/08/2023 - 17:17,"['avanç', 'process', 'inédit', 'licit', 'transport', 'cole', 'prefeit', 'joinvill', 'anunci', 'nest', 'terça-f', '22', 'med', 'tom', 'sistem', 'mobil', 'simob', 'futur', 'serviç', 'edit', 'dev', 'lanç', 'fever', '2024', '50', 'ano', 'empr', 'gidion', 'transtus', 'trabalh', 'cidad', 'mei', 'concess']",economia,"Para avançar no processo inédito de licitação do transporte coletivo, a prefeitura de Joinville anunciou nesta terça-feira (22) medidas que serão tomadas pelo Sistema de Mobilidade (Simob) para o futuro do serviço e que o edital deve ser lançado em fevereiro de 2024. Há 50 anos, as empresas Gidion e Transtusa trabalham na cidade por meio de concessões. ",[],economia,economia,saude
5 dicas para eliminar peso de forma saudável,22/08/2023 - 17:15,"['busc', 'estil', 'vid', 'saud', 'tornou-s', 'tend', 'brasil', 'cad', 'vez', 'atent', 'qual', 'vid', 'prát', 'exercíci', 'físic', 'segund', 'dad', 'plataform', 'getninj', 'aplic', 'contrat', 'serviç', 'soment', 'julh', 'dest', 'ano', '2023', 'aument', 'cerc', '23', 'busc', 'nutr', 'compar', 'mê', 'anteri']",saude,"A busca por um estilo de vida saudável tornou-se tendência entre os brasileiros, que estão cada vez mais atentos à qualidade de vida e à prática de exercícios físicos. Segundo dados da plataforma GetNinjas, aplicativo de contratação de serviços, somente em julho deste ano (2023) houve um aumento de cerca de 23% na busca por nutricionistas, em comparação com o mês anterior.",[],saude,saude,saude
História de catarinense que perdeu viagem para Paris após suspensão da 123 milhas é tema do SC em 5 minutos,22/08/2023 - 17:08,"['ediç', 'podcast', 'sc', '5', 'minut', 'dest', 'terça-f', '22', 'cont', 'histór', 'catarin', 'perd', 'viag', 'paril', 'após', 'suspens', '123', 'milh', 'advog', 'brun', 'tomazell', 'silv', '24', 'ano', 'ganh', 'pass', 'pres', 'namor', 'viag', 'tod', 'planej']",turismo,"A edição do podcast SC em 5 minutos desta terça-feira (22) conta a história de uma catarinense que perdeu uma viagem para Paris após a suspensão da 123 milhas. A advogada Bruna Tomazelli Silva, de 24 anos, ganhou a passagem de presente do namorado e já tinha a viagem toda planejada.",[],turismo,turismo,turismo
I Fashion Outlet conta com Programa de Fidelidade,21/08/2023 - 17:22,"['pens', 'recompens', 'compr', 'receb', 'convit', 'event', 'descont', 'exclus', 'i', 'fashion', 'outlet', 'sant', 'catarin', 'local', 'tijuc', 'litor', 'catarin', 'real', 'oferec', 'tod', 'client', 'benefíci', 'viabil', 'através', 'iguatem', 'one', 'program', 'relacion', 'grup', 'iguatem', 'oferec', 'séri', 'benefíci', 'usu', 'cadastr', 'aplic', 'novidad', 'acab', 'cheg', 'sant', 'catarin', 'nov', 'incen', 'fidel', 'conquist', 'públic']",economia,"Já pensou em ser recompensado por suas compras, receber convites para eventos, e ter descontos exclusivos? No I Fashion Outlet Santa Catarina, localizado em Tijucas, no litoral catarinense, isso já é uma realidade oferecida a todos os clientes. Esse benefício é viabilizado através do Iguatemi One, um Programa de Relacionamento do Grupo Iguatemi, que oferece uma série de benefícios aos usuários que se cadastrarem pelo aplicativo. Essa novidade acaba de chegar em Santa Catarina como um novo incentivo para fidelizar e conquistar o público.",[],economia,economia,economia
Ossada achada às margens do Rio Itajaí-Açu em Gaspar pode ser de idosa desaparecida,22/08/2023 - 17:06,"['políci', 'civil', 'acredit', 'identific', 'oss', 'ach', 'mê', 'pass', 'marg', 'rio', 'itajaí-açu', 'gasp', 'consider', 'bot', 'ortopéd', 'document', 'ident', 'encontr', 'cen', 'trata-s', 'idos', 'vist', 'famíl', 'últ', 'vez', 'set', 'ano']",desastre,"A Polícia Civil acredita ter identificado de quem é a ossada achada no mês passado às margens do Rio Itajaí-Açu, em Gaspar. Considerando a bota ortopédica e o documento de identidade encontrado na cena, trata-se de uma idosa vista pela família pela última vez há sete anos.",[],turismo,turismo,desastre
"Cobra flagrada em supermercado de SC buscava comida, diz biólogo: “Já achei em berço de bebê” ",22/08/2023 - 17:00,"['cobr', 'flagr', 'pad', 'supermerc', 'florianópolil', 'nest', 'terça-f', '22', 'local', 'prova', 'busc', 'aliment', 'avali', 'biólog', 'christian', 'raboch', 'lempek', 'especi', 'resgat', 'faun', 'silvestr', 'atu', 'cas', 'assim', 'jaragu', 'sul', 'nort', 'catarin']",outros,"A cobra flagrada na padaria de um supermercado em Florianópolis nesta terça-feira (22) estava no local provavelmente em busca de alimento. A avaliação é do biólogo Christian Raboch Lempek, que é especialista no resgate de fauna silvestre e atua em casos assim em Jaraguá do Sul, no Norte catarinense.",[],outros,outros,outros
5 vitaminas caseiras pós-treino para melhorar o ganho de massa muscular,22/08/2023 - 17:00,"['exercíci', 'pes', 'lev', 'ativ', 'pratiqu', 'fom', 'companh', 'costum', 'aparec', 'após', 'trein', 'princip', 'am', 'muscul', 'porqu', 'corp', 'aument', 'gast', 'energ', 'dur', 'malh', 'sent', 'necess', 'rep', 'calor', 'perd', 'mei', 'com']",saude,"Dos exercícios mais pesados aos leves, seja qual for a atividade que você pratique, a fome é uma companheira que costuma aparecer após o treino, principalmente para os amantes da musculação. Isso porque o corpo aumenta o gasto de energia durante a malhação e sente a necessidade de repor as calorias perdidas por meio da comida.",[],esporte,esporte,esporte
FOTOS: Temporal de granizo deixa paisagem irreconhecível em Lages,22/08/2023 - 16:57,"['cidad', 'lag', 'serr', 'sant', 'catarin', 'registr', 'qued', 'graniz', 'tard', 'dest', 'terça-f', '22', 'imag', 'compartilh', 'red', 'soc', 'possível', 'ver', 'moment', 'pais', 'tom', 'fenômen', 'fic', 'cobert', 'pedr', 'branc']",desastre,"A cidade de Lages, na Serra de Santa Catarina, registrou queda de granizo na tarde desta terça-feira (22). Em imagens compartilhadas nas redes sociais, é possível ver o momento em que a paisagem é tomada pelo fenômeno e fica coberta de “pedras brancas”.",[],turismo,turismo,desastre
Obra muda paisagem e Florianópolis ganha nova praia,22/08/2023 - 16:42,"['florianópolil', 'ganh', 'nov', 'prai', 'engord', 'faix', 'are', 'canasvi', 'jan', '2020', 'provoc', 'surg', 'nov', 'prai', 'canajur', 'jurer']",turismo,"Florianópolis está ganhando uma nova praia. O engordamento da faixa de areia em Canasvieiras, em janeiro de 2020, provocou o surgimento de uma nova praia entre Canajurê e Jurerê.",[],turismo,turismo,turismo
"SC tem alerta para ventos fortes, temporais e até granizo entre terça e quarta-feira",22/08/2023 - 16:41,"['defês', 'civil', 'sant', 'catarin', 'emit', 'alert', 'fort', 'vent', 'terç', '22', 'quarta-f', '23', 'est', 'pod', 'raj', '80', 'quilômetr', 'hor', 'algum', 'áre']",desastre,A Defesa Civil de Santa Catarina emitiu um alerta para fortes ventos entre esta terça (22) e quarta-feira (23). O Estado pode ter rajadas de até 80 quilômetros por hora em algumas áreas.,[],desastre,desastre,desastre
Conheça as características do signo de Virgem,22/08/2023 - 16:30,"['virgem', 'sext', 'sign', 'zod', 'sign', 'mut', 'reg', 'mercúri', 'reg', 'cas', '6', 'map', 'astr', 'nativ', 'dest', 'sign', 'sempr', 'tent', 'aperfeiço', 'açõ', 'ambi', 'redor', 'mei', 'repet', 'cotidi', 'mut', 'conseg', 'adapt', 'deix', 'tud', 'func', 'prát', 'explic', 'astrólog', 'thaí', 'mari']",outros,"Virgem é o sexto signo do zodíaco. Um signo mutável, regido por Mercúrio e que rege a casa 6 do Mapa Astral. Os nativos deste signo estão sempre tentando aperfeiçoar suas ações e o ambiente ao seu redor. “É por meio da repetição do cotidiano e das mutações que eles conseguem adaptar e deixar tudo mais funcional e prático”, explica a astróloga Thaís Mariano.",[],economia,economia,economia
Inter de Lages e Nação Esportes começam a decidir a Série B do Catarinense nesta quarta,22/08/2023 - 16:15,"['int', 'lag', 'naçã', 'esport', 'faz', 'nest', 'quart', '23', 'prim', 'jog', 'final', 'séri', 'b', 'campeonat', 'catarin', 'doi', 'tim', 'garant', 'vag', 'prim', 'divis', 'estad', 'segund', 'jog', 'final', 'doming', '27', 'aren', 'joinvill', 'transmiss', 'viv', 'nsc', 'total']",esporte,"Inter de Lages e Nação Esportes fazem, nesta quarta (23), o primeiro jogo da final da Série B do Campeonato Catarinense. Os dois times já garantiram vaga na primeira divisão do estadual. O segundo jogo da final será no domingo (27) na Arena Joinville, com transmissão ao vivo pelo NSC Total.",[],esporte,turismo,turismo
10 benefícios da linhaça para a saúde e para o emagrecimento,22/08/2023 - 16:00,"['linh', 'conhec', 'sement', 'linh', 'originár', 'reg', 'mediterrâne', 'orient', 'médi', 'long', 'temp', 'espalh', 'divers', 'reg', 'mund', 'ganh', 'reconhec', 'propriedad', 'nutric', 'medic']",saude,"A linhaça, também conhecida como semente de linho, é originária da região mediterrânea e do Oriente Médio. Ao longo do tempo, se espalhou por diversas regiões do mundo e ganhou reconhecimento por suas propriedades nutricionais e medicinais.",[],saude,saude,saude
Floripa Mais Tec prepara jovens para as profissões do futuro,21/08/2023 - 10:44,"['sob', 'holofot', 'turís', 'atra', 'viaj', 'nacion', 'internac', 'prai', 'outr', 'tant', 'bel', 'natur', 'florianópolil', 'desfil', 'nov', 'talent', 'destac', 'univers', 'tecnológ', 'recent', 'capit', 'catarin', 'firm', 'redut', 'inov', 'invest', 'abr', 'caminh', 'futur', 'audaci', 'divers', 'set', '221', 'mil', 'empr', 'tecnolog', 'empr', 'startup', 'outr', 'set', 'cidad', 'ganh', 'outr', 'apel', '‘', 'ilh', 'silíci', '’', 'faz', 'ju', 'mov']",economia,"Sob os holofotes turísticos que atraem viajantes nacionais e internacionais para suas praias e outras tantas belezas naturais, Florianópolis desfila um novo talento e se destaca no universo tecnológico. Recentemente, a capital catarinense se firmou como reduto da inovação, investindo e abrindo caminho para um futuro audacioso em diversos setores. Com mais de 22,1 mil empresas de tecnologia, entre empresas, startups e outros setores, a cidade ganhou outro apelido: ‘Ilha do Silício’, fazendo jus a esse movimento.",[],turismo,turismo,turismo
Botafogo-SP e Chapecoense fazem jogo atrasado pela Série B: veja onde assistir,22/08/2023 - 15:59,"['chapeco', 'botafogo-sp', 'faz', 'próx', 'quart', '23', 'part', 'atras', 'adi', 'julh', 'confront', 'ribe', 'pret', 'sp', 'vál', '17ª', 'rod', 'séri', 'b', 'brasile', 'chap', 'vem', 'vitór', '2', '1', 'contr', 'novorizontin', 'doming', '20', 'lut', 'sair', 'z-4']",esporte,"Chapecoense e Botafogo-SP fazem na próxima quarta (23) partida atrasada, que foi adiada em julho. O confronto será em Ribeirão Preto (SP) e é válido pela 17ª rodada da Série B do Brasileirão. A Chape vem de uma vitória de 2 a 1 contra o Novorizontino, no domingo (20), e luta para sair do Z-4.",[],esporte,esporte,esporte
Bolsonaro faz harmonização facial de R$ 84 mil; veja antes e depois,22/08/2023 - 15:57,"['ex-presid', 'jair', 'bolsonar', 'pl', 'submet', 'harmon', 'fac', 'sorris', 'result', 'divulg', 'noit', 'dest', 'segunda-f', '21', 'dent', 'rild', 'lasm', 'respons', 'proced', 'conhec', 'aplic', 'lent', 'contat', 'dent', 'outr', 'personal']",economia,"O ex-presidente Jair Bolsonaro (PL) se submeteu a uma harmonização facial e do sorriso. O resultado foi divulgado na noite desta segunda-feira (21) pelo dentista Rildo Lasmar, responsável pelo procedimento e já conhecido por aplicar lentes de contato também nos dentes de outras personalidades.",[],saude,desastre,saude
"Márcio Goiano sobre o Figueirense: “o futebol é caro, mas você paga pelos erros”",22/08/2023 - 15:50,"['capitã', 'tricampeonat', '2002-2004', 'técn', 'acess', 'séri', '2010', 'márci', 'goian', 'refer', 'fort', 'histór', 'recent', 'figueir', 'entrevist', 'cim', 'lanc', 'dest', 'terça-f', 'program', 'cbn', 'florip', 'inici', 'séri', 'entrev', 'nom', 'histór', 'club', 'nest', 'seman', 'decis', 'contr', 'manau', 'val', 'perman', 'séri', 'c', 'brasil']",esporte,"Capitão do tricampeonato 2002-2004, técnico do acesso à Série A de 2010, Márcio Goiano, uma das referências mais fortes da história recente do Figueirense, foi o entrevistado do Em Cima do Lance desta terça-feira. O programa da CBN Floripa iniciou uma série de entrevistas com nomes históricos do clube nesta semana da decisão contra o Manaus, que vale a permanência na Série C do Brasileiro. ",[],esporte,esporte,esporte
